,Location,value
913,WARRIGAL_RD N of HIGH STREET_RD,160
925,WARRIGAL_RD N of HIGH STREET_RD,172
937,WARRIGAL_RD N of HIGH STREET_RD,148
949,WARRIGAL_RD N of HIGH STREET_RD,151
961,WARRIGAL_RD N of HIGH STREET_RD,145
973,WARRIGAL_RD N of HIGH STREET_RD,138
985,WARRIGAL_RD N of HIGH STREET_RD,106
997,WARRIGAL_RD N of HIGH STREET_RD,125
1009,WARRIGAL_RD N of HIGH STREET_RD,125
1021,WARRIGAL_RD N of HIGH STREET_RD,112
1033,WARRIGAL_RD N of HIGH STREET_RD,102
1045,WARRIGAL_RD N of HIGH STREET_RD,105
1057,WARRIGAL_RD N of HIGH STREET_RD,108
1069,WARRIGAL_RD N of HIGH STREET_RD,99
1081,WARRIGAL_RD N of HIGH STREET_RD,76
1093,WARRIGAL_RD N of HIGH STREET_RD,65
1105,WARRIGAL_RD N of HIGH STREET_RD,56
1117,WARRIGAL_RD N of HIGH STREET_RD,49
1129,WARRIGAL_RD N of HIGH STREET_RD,47
1141,WARRIGAL_RD N of HIGH STREET_RD,28
2,WARRIGAL_RD N of HIGH STREET_RD,33
14,WARRIGAL_RD N of HIGH STREET_RD,28
26,WARRIGAL_RD N of HIGH STREET_RD,17
38,WARRIGAL_RD N of HIGH STREET_RD,12
50,WARRIGAL_RD N of HIGH STREET_RD,15
62,WARRIGAL_RD N of HIGH STREET_RD,9
74,WARRIGAL_RD N of HIGH STREET_RD,9
86,WARRIGAL_RD N of HIGH STREET_RD,11
98,WARRIGAL_RD N of HIGH STREET_RD,13
110,WARRIGAL_RD N of HIGH STREET_RD,5
122,WARRIGAL_RD N of HIGH STREET_RD,8
134,WARRIGAL_RD N of HIGH STREET_RD,6
146,WARRIGAL_RD N of HIGH STREET_RD,10
158,WARRIGAL_RD N of HIGH STREET_RD,9
170,WARRIGAL_RD N of HIGH STREET_RD,4
182,WARRIGAL_RD N of HIGH STREET_RD,11
194,WARRIGAL_RD N of HIGH STREET_RD,17
206,WARRIGAL_RD N of HIGH STREET_RD,13
218,WARRIGAL_RD N of HIGH STREET_RD,16
