,Location,value
1560,WARRIGAL_RD N of HIGH STREET_RD,135
1579,WARRIGAL_RD N of HIGH STREET_RD,129
1598,WARRIGAL_RD N of HIGH STREET_RD,139
1617,WARRIGAL_RD N of HIGH STREET_RD,146
1636,WARRIGAL_RD N of HIGH STREET_RD,130
1655,WARRIGAL_RD N of HIGH STREET_RD,132
1674,WARRIGAL_RD N of HIGH STREET_RD,114
1693,WARRIGAL_RD N of HIGH STREET_RD,86
1712,WARRIGAL_RD N of HIGH STREET_RD,93
1731,WARRIGAL_RD N of HIGH STREET_RD,90
1750,WARRIGAL_RD N of HIGH STREET_RD,73
1769,WARRIGAL_RD N of HIGH STREET_RD,57
1788,WARRIGAL_RD N of HIGH STREET_RD,29
1807,WARRIGAL_RD N of HIGH STREET_RD,40
3,WARRIGAL_RD N of HIGH STREET_RD,32
22,WARRIGAL_RD N of HIGH STREET_RD,22
41,WARRIGAL_RD N of HIGH STREET_RD,28
60,WARRIGAL_RD N of HIGH STREET_RD,13
79,WARRIGAL_RD N of HIGH STREET_RD,16
98,WARRIGAL_RD N of HIGH STREET_RD,8
117,WARRIGAL_RD N of HIGH STREET_RD,14
136,WARRIGAL_RD N of HIGH STREET_RD,10
155,WARRIGAL_RD N of HIGH STREET_RD,8
174,WARRIGAL_RD N of HIGH STREET_RD,8
193,WARRIGAL_RD N of HIGH STREET_RD,7
212,WARRIGAL_RD N of HIGH STREET_RD,6
231,WARRIGAL_RD N of HIGH STREET_RD,8
250,WARRIGAL_RD N of HIGH STREET_RD,2
269,WARRIGAL_RD N of HIGH STREET_RD,7
288,WARRIGAL_RD N of HIGH STREET_RD,10
307,WARRIGAL_RD N of HIGH STREET_RD,8
326,WARRIGAL_RD N of HIGH STREET_RD,14
345,WARRIGAL_RD N of HIGH STREET_RD,16
364,WARRIGAL_RD N of HIGH STREET_RD,12
383,WARRIGAL_RD N of HIGH STREET_RD,24
402,WARRIGAL_RD N of HIGH STREET_RD,37
421,WARRIGAL_RD N of HIGH STREET_RD,62
440,WARRIGAL_RD N of HIGH STREET_RD,84
459,WARRIGAL_RD N of HIGH STREET_RD,82
478,WARRIGAL_RD N of HIGH STREET_RD,166
497,WARRIGAL_RD N of HIGH STREET_RD,230
516,WARRIGAL_RD N of HIGH STREET_RD,235
535,WARRIGAL_RD N of HIGH STREET_RD,256
554,WARRIGAL_RD N of HIGH STREET_RD,336
573,WARRIGAL_RD N of HIGH STREET_RD,316
592,WARRIGAL_RD N of HIGH STREET_RD,392
611,WARRIGAL_RD N of HIGH STREET_RD,374
630,WARRIGAL_RD N of HIGH STREET_RD,392
649,WARRIGAL_RD N of HIGH STREET_RD,417
668,WARRIGAL_RD N of HIGH STREET_RD,380
687,WARRIGAL_RD N of HIGH STREET_RD,376
706,WARRIGAL_RD N of HIGH STREET_RD,328
725,WARRIGAL_RD N of HIGH STREET_RD,324
744,WARRIGAL_RD N of HIGH STREET_RD,338
763,WARRIGAL_RD N of HIGH STREET_RD,282
782,WARRIGAL_RD N of HIGH STREET_RD,272
801,WARRIGAL_RD N of HIGH STREET_RD,290
820,WARRIGAL_RD N of HIGH STREET_RD,340
839,WARRIGAL_RD N of HIGH STREET_RD,301
858,WARRIGAL_RD N of HIGH STREET_RD,288
877,WARRIGAL_RD N of HIGH STREET_RD,258
896,WARRIGAL_RD N of HIGH STREET_RD,272
915,WARRIGAL_RD N of HIGH STREET_RD,319
934,WARRIGAL_RD N of HIGH STREET_RD,315
953,WARRIGAL_RD N of HIGH STREET_RD,251
972,WARRIGAL_RD N of HIGH STREET_RD,281
991,WARRIGAL_RD N of HIGH STREET_RD,294
1010,WARRIGAL_RD N of HIGH STREET_RD,301
1029,WARRIGAL_RD N of HIGH STREET_RD,300
1048,WARRIGAL_RD N of HIGH STREET_RD,288
1067,WARRIGAL_RD N of HIGH STREET_RD,282
1086,WARRIGAL_RD N of HIGH STREET_RD,260
1105,WARRIGAL_RD N of HIGH STREET_RD,247
1124,WARRIGAL_RD N of HIGH STREET_RD,252
1143,WARRIGAL_RD N of HIGH STREET_RD,320
1162,WARRIGAL_RD N of HIGH STREET_RD,300
1181,WARRIGAL_RD N of HIGH STREET_RD,264
1200,WARRIGAL_RD N of HIGH STREET_RD,329
1219,WARRIGAL_RD N of HIGH STREET_RD,359
1238,WARRIGAL_RD N of HIGH STREET_RD,345
1257,WARRIGAL_RD N of HIGH STREET_RD,270
1276,WARRIGAL_RD N of HIGH STREET_RD,338
1295,WARRIGAL_RD N of HIGH STREET_RD,308
1314,WARRIGAL_RD N of HIGH STREET_RD,340
1333,WARRIGAL_RD N of HIGH STREET_RD,377
1352,WARRIGAL_RD N of HIGH STREET_RD,335
1371,WARRIGAL_RD N of HIGH STREET_RD,352
1390,WARRIGAL_RD N of HIGH STREET_RD,290
1409,WARRIGAL_RD N of HIGH STREET_RD,258
1428,WARRIGAL_RD N of HIGH STREET_RD,281
1447,WARRIGAL_RD N of HIGH STREET_RD,237
1466,WARRIGAL_RD N of HIGH STREET_RD,203
1485,WARRIGAL_RD N of HIGH STREET_RD,167
1504,WARRIGAL_RD N of HIGH STREET_RD,165
1523,WARRIGAL_RD N of HIGH STREET_RD,133
1542,WARRIGAL_RD N of HIGH STREET_RD,163
1561,WARRIGAL_RD N of HIGH STREET_RD,135
